"stockid","stocklong","assessid","scientificname","commonname","areaid","region"
"MENATLAN","Atlantic menhaden Atlantic","NMFS-MENATLAN-1940-2005-STANTON","Brevoortia tyrannus","Atlantic menhaden","USA-NMFS-ATL","US East Coast"
"MORWONGESE","Jackass morwong Eastern half of Southeast Australia","CSIRO-MORWONGESE-1915-2020-MOESENEDER","Nemadactylus macropterus","Jackass morwong","Australia-AFMA-ESE","Australia"
"NROCKBSAI","Northern rockfish Bering Sea and Aleutian Islands","AFSC-NROCKBSAI-1974-2011-STACHURA","Sebastes polyspinis","Northern rockfish","USA-NMFS-BSAI","US Alaska"
"NROCKGA","Northern rockfish Gulf of Alaska","AFSC-NROCKGA-1959-2010-STACHURA","Sebastes polyspinis","Northern rockfish","USA-NMFS-GA","US Alaska"
"NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","AFSC-NRSOLEEBSAI-1975-2012-HIVELY","Lepidopsetta polyxystra","Northern rock sole","USA-NMFS-EBSAI","US Alaska"
"NRSOLEGA","Northern rock sole Gulf of Alaska","AFSC-NRSOLEGA-1977-2019-SISIMP2021-2","Lepidopsetta polyxystra","Northern rock sole","USA-NMFS-GA","US Alaska"
"NZLINGWSE","Ling Western half of Southeast Australia","CSIRO-NZLINGWSE-1968-2007-FULTON","Genypterus blacodes","Ling","Australia-AFMA-WSE","Australia"
"NZSNAPNZ7","New Zealand snapper New Zealand SNA 7","NZMFishINSHOREWG-NZSNAPNZ7-1931-2014-LANGLEY","Chrysophrys auratus","New Zealand snapper","New Zealand-MFish-SNA-7","New Zealand"
"NZSNAPNZ8","New Zealand snapper New Zealand Area 8 (Auckland and Central West)","NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN","Chrysophrys auratus","New Zealand snapper","New Zealand-MFish-8","New Zealand"
"OROUGHYNWCR","Orange roughy Northwest Chatham Rise","NIWA-OROUGHYNWCR-1910-2014-FU","Hoplostethus atlanticus","Orange roughy","New Zealand-MFish-NWCR","New Zealand"
"OROUGHYNZMEC","Orange roughy New Zealand Mid East Coast","NIWA-OROUGHYNZMEC-1882-2014-FU","Hoplostethus atlanticus","Orange roughy","New Zealand-MFish-NZMEC","New Zealand"
"PACBTUNA","Pacific bluefin tuna Pacific Ocean","ISC-PACBTUNA-1952-2012-PONS","Thunnus orientalis","Pacific bluefin tuna","multinational-ISC-PAC","Pacific Ocean"
"PAUANPAU5A","Paua NZ Area North PAUA 5A","NIWA-PAUANPAU5A-1965-2014-FU","Haliotis iris","Paua","New Zealand-MFish-NPAU5A","New Zealand"
"PAUAPAU5B","Paua New Zealand Area PAU 5B (Stewart Island)","NZMFishSHELLFISHWG-PAUAPAU5B-1965-2013-FU","Haliotis iris","Paua","New Zealand-MFish-PAU5B","New Zealand"
"PAUAPAU5D","Paua New Zealand Area PAU 5D (Otago)","NZMFishSHELLFISHWG-PAUAPAU5D-1965-2012-FU","Haliotis iris","Paua","New Zealand-MFish-PAU5D","New Zealand"
"PAUAPAU7","Paua New Zealand Area PAU 7 (Marlborough)","NIWA-PAUAPAU7-1965-2015-FU","Haliotis iris","Paua","New Zealand-MFish-PAU7","New Zealand"
"PAUASPAU5A","Paua NZ Area South PAUA 5A","NIWA-PAUASPAU5A-1965-2014-FU","Haliotis iris","Paua","New Zealand-MFish-SPAU5A","New Zealand"
"PCEELCSCH","Pink cusk eel Central-Southern Chile","IFOPCH-PCEELCSCH-1978-2020-Quiroz","Genypterus blacodes","Pink cusk eel","Chile-SUBPESCA-CH-CS","South America"
"PCEELSCH","Pink cusk eel Southern Chile","IFOPCH-PCEELSCH-1978-2020-Quiroz","Genypterus blacodes","Pink cusk eel","Chile-SUBPESCA-CH-S","South America"
"PCODBS","Pacific cod Bering Sea","AFSC-PCODBS-1977-2021-SISIMP2022","Gadus macrocephalus","Pacific cod","USA-NMFS-BS","US Alaska"
"PCODGA","Pacific cod Gulf of Alaska","AFSC-PCODGA-1977-2014-HIVELY","Gadus macrocephalus","Pacific cod","USA-NMFS-GA","US Alaska"
"PCODWCVANI","Pacific cod West Coast of Vancouver Island","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Gadus macrocephalus","Pacific cod","Canada-DFO-WCVANI","Canada West Coast"
"PERCHEBSAI","Pacific ocean perch Eastern Bering Sea and Aleutian Islands","AFSC-PERCHEBSAI-1960-2011-STACHURA","Sebastes alutus","Pacific ocean perch","USA-NMFS-EBSAI","US Alaska"
"PERCHHG","Pacific Ocean perch Haida Gwaii","DFO-PAC-PERCHHG-1939-2017-ASHBROOK","Sebastes alutus","Pacific ocean perch","Canada-DFO-HG","Canada West Coast"
"PERCHWCVANI","Pacific ocean perch West Coast of Vancouver Island","DFO-PERCHWCVANI-1939-2013-WATSON","Sebastes alutus","Pacific ocean perch","Canada-DFO-WCVANI","Canada West Coast"
"PHAKEPCOAST","Pacific hake Pacific Coast","PFMC-PHAKEPCOAST-1966-2016-WATSON","Merluccius productus","Pacific hake","USA-NMFS-PCOAST","US West Coast"
"PILCHPJPN","Japanese sardine Pacific Coast of Japan","FAJ-PILCHPJPN-1976-2009-ONO","Sardinops melanostictus","Japanese sardine","Japan-FAJ-PJPN","Japan"
"PILCHTSST","Japanese sardine Tsushima Strait","FAJ-PILCHTSST-1960-2010-ONO","Sardinops melanostictus","Japanese sardine","Japan-FAJ-TSST","Japan"
"PLAIC7d","European plaice Eastern English Channel","WGNSSK-PLAIC7d-1979-2010-NEUBAUER","Pleuronectes platessa","European plaice","multinational-ICES-VIId","European Union"
"PLAICIS","European plaice Irish Sea","WGNSDS-PLAICIS-1992-2010-NEUBAUER","Pleuronectes platessa","European plaice","multinational-ICES-VIIa","European Union"
"PLAICNS","European plaice North Sea","WGNSSK-PLAICNS-1956-2010-NEUBAUER","Pleuronectes platessa","European plaice","multinational-ICES-IV","European Union"
"POLL5YZ","Pollock Gulf of Maine / Georges Bank","NEFSC-POLL5YZ-1960-2009-CHING","Pollachius virens","Pollock","USA-NMFS-5YZ","US East Coast"
"POLLFAPL","Saithe Faroe Plateau","NWWG-POLLFAPL-1958-2012-CHING","Pollachius virens","Saithe","multinational-ICES-Vb1","Europe non EU"
"POLLNEAR","Saithe North-East Arctic","AFWG-POLLNEAR-1957-2012-CHING","Pollachius virens","Saithe","multinational-ICES-I-II","Europe non EU"
"POPERCHGA","Pacific ocean perch Gulf of Alaska","AFSC-POPERCHGA-1959-2010-STACHURA","Sebastes alutus","Pacific ocean perch","USA-NMFS-GA","US Alaska"
"POPERCHPCOAST","Pacific ocean perch Pacific Coast","NWFSC-POPERCHPCOAST-1940-2011-STACHURA","Sebastes alutus","Pacific ocean perch","USA-NMFS-PCOAST","US West Coast"
"PSOLEPCOAST","Petrale sole Pacific Coast","PFMC-PSOLEPCOAST-1930-2011-CHING","Eopsetta jordani","Petrale sole","USA-NMFS-PCOAST","US West Coast"
"REDFEAUS","Redfish Eastern Australia","CSIRO-REDFEAUS-1975-2016-MOESENEDER","Centroberyx affinis","Redfish","Australia-AFMA-EAUS","Australia"
"RHERRTSST","Round herring Tsushima Strait","FAJ-RHERRTSST-1975-2014-KUROTA","Etrumeus teres","Round herring","Japan-FAJ-TSST","Japan"
"RPORGYSATLC","Red porgy Southern Atlantic coast","SEFSC-RPORGYSATLC-1972-2012-HIVELY","Pagrus pagrus","Red porgy","USA-NMFS-SATLC","US Southeast and Gulf"
"RROCKLOBSTERCRA1","Red rock lobster New Zealand Area CRA1","NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN","Jasus edwardsii","Red rock lobster","New Zealand-MFish-CRA1","New Zealand"
"RROCKLOBSTERCRA2","Red rock lobster New Zealand Area CRA2","NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN","Jasus edwardsii","Red rock lobster","New Zealand-MFish-CRA2","New Zealand"
"RROCKLOBSTERCRA4","Red rock lobster New Zealand Area CRA4","NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN","Jasus edwardsii","Red rock lobster","New Zealand-MFish-CRA4","New Zealand"
